Date,Account,Deposits,Withdrawals,TotalBalance
2026-08-06,Traditional 401k,0,0,500000
2026-08-06,Roth 401k,0,0,0
2026-08-06,Roth IRA,0,0,200000
2026-08-06,Savings,0,0,100000
2027-08-31,Traditional 401k,0,0,500000
2027-08-31,Roth 401k,0,0,0
2027-08-31,Roth IRA,814.8247567296708,0,200814.82475672968
2027-08-31,Savings,407.4123783648354,4166.666666666667,96240.74571169817
2028-09-24,Traditional 401k,0,0,500000
2028-09-24,Roth 401k,0,0,0
2028-09-24,Roth IRA,0,0,200814.82475672968
2028-09-24,Savings,0,0,96240.74571169817
2029-10-19,Traditional 401k,0,0,500000
2029-10-19,Roth 401k,0,0,0
2029-10-19,Roth IRA,0,0,200814.82475672968
2029-10-19,Savings,0,0,96240.74571169817
2030-11-13,Traditional 401k,0,0,500000
2030-11-13,Roth 401k,0,0,0
2030-11-13,Roth IRA,0,0,200814.82475672968
2030-11-13,Savings,0,0,96240.74571169817
2031-12-08,Traditional 401k,0,0,500000
2031-12-08,Roth 401k,0,0,0
2031-12-08,Roth IRA,0,0,200814.82475672968
2031-12-08,Savings,0,0,96240.74571169817
2033-01-01,Traditional 401k,0,0,500000
2033-01-01,Roth 401k,0,0,0
2033-01-01,Roth IRA,0,0,200814.82475672968
2033-01-01,Savings,0,0,96240.74571169817
2034-01-26,Traditional 401k,0,0,500000
2034-01-26,Roth 401k,0,0,0
2034-01-26,Roth IRA,0,0,202454.4468858079
2034-01-26,Savings,0,0,88509.22155827384
2035-02-20,Traditional 401k,0,0,500000
2035-02-20,Roth 401k,0,0,0
2035-02-20,Roth IRA,0,0,202454.4468858079
2035-02-20,Savings,0,0,88509.22155827384
2036-03-16,Traditional 401k,0,0,500000
2036-03-16,Roth 401k,0,0,0
2036-03-16,Roth IRA,0,0,202454.4468858079
2036-03-16,Savings,0,0,88509.22155827384
2037-04-10,Traditional 401k,0,0,500000
2037-04-10,Roth 401k,0,0,0
2037-04-10,Roth IRA,0,0,202454.4468858079
2037-04-10,Savings,0,0,88509.22155827384
2038-05-05,Traditional 401k,0,0,500000
2038-05-05,Roth 401k,0,0,0
2038-05-05,Roth IRA,0,0,202454.4468858079
2038-05-05,Savings,0,0,88509.22155827384
2039-05-30,Traditional 401k,0,0,500000
2039-05-30,Roth 401k,0,0,0
2039-05-30,Roth IRA,0,0,204107.45627715334
2039-05-30,Savings,0,0,80714.57070039025
2040-06-23,Traditional 401k,0,0,500000
2040-06-23,Roth 401k,0,0,0
2040-06-23,Roth IRA,0,0,204107.45627715334
2040-06-23,Savings,0,0,80714.57070039025
2041-07-18,Traditional 401k,0,0,500000
2041-07-18,Roth 401k,0,0,0
2041-07-18,Roth IRA,0,0,204107.45627715334
2041-07-18,Savings,0,0,80714.57070039025
2042-08-12,Traditional 401k,0,0,500000
2042-08-12,Roth 401k,0,0,0
2042-08-12,Roth IRA,0,0,204107.45627715334
2042-08-12,Savings,0,0,80714.57070039025
2043-09-06,Traditional 401k,0,0,500000
2043-09-06,Roth 401k,0,0,0
2043-09-06,Roth IRA,0,0,204107.45627715334
2043-09-06,Savings,0,0,80714.57070039025
2044-09-30,Traditional 401k,0,0,500000
2044-09-30,Roth 401k,0,0,0
2044-09-30,Roth IRA,0,0,204939.01531919205
2044-09-30,Savings,0,0,76793.41185256767
2045-10-25,Traditional 401k,0,0,500000
2045-10-25,Roth 401k,0,0,0
2045-10-25,Roth IRA,0,0,204939.01531919205
2045-10-25,Savings,0,0,76793.41185256767
2046-11-19,Traditional 401k,0,0,500000
2046-11-19,Roth 401k,0,0,0
2046-11-19,Roth IRA,0,0,204939.01531919205
2046-11-19,Savings,0,0,76793.41185256767
2047-12-14,Traditional 401k,0,0,500000
2047-12-14,Roth 401k,0,0,0
2047-12-14,Roth IRA,0,0,204939.01531919205
2047-12-14,Savings,0,0,76793.41185256767
2049-01-07,Traditional 401k,0,0,500000
2049-01-07,Roth 401k,0,0,0
2049-01-07,Roth IRA,0,0,204939.01531919205
2049-01-07,Savings,0,0,76793.41185256767
2050-02-01,Traditional 401k,0,0,500000
2050-02-01,Roth 401k,0,0,0
